"user.key";"datetime";"meter.reading";"diff"
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"02/04/2015 00:13:01";94151;16
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 23:13:01";94135;3
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 22:12:58";94132;33
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 21:12:58";94099;22
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 20:12:58";94077;11
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 19:12:58";94066;19
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 18:13:00";94047;19
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 17:13:00";94028;10
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 16:13:00";94018;90
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 15:13:00";93928;10
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 14:12:58";93918;142
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 13:12:58";93776;15
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 12:12:58";93761;15
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 11:12:58";93746;51
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 10:13:00";93695;38
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 09:13:00";93657;142
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 08:13:00";93515;50
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 07:13:00";93465;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 06:13:00";93464;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 05:13:00";93463;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 04:13:00";93463;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 03:13:00";93463;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 02:13:00";93463;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 01:13:00";93461;5
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"01/04/2015 00:13:00";93456;27
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 23:13:00";93429;17
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 22:12:59";93412;4
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 21:12:59";93408;29
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 20:12:59";93379;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 19:12:59";93377;16
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 18:32:35";93361;9
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 17:32:35";93352;21
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 16:32:35";93331;195
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 15:32:35";93136;356
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 10:13:00";92780;35
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 09:13:00";92745;18
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 08:13:00";92727;17
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 07:13:00";92710;20
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 06:12:59";92690;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 05:12:59";92689;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 04:12:59";92689;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 03:12:59";92689;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 02:13:01";92688;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 01:13:01";92688;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"31/03/2015 00:13:01";92687;33
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 23:13:01";92654;32
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 22:13:00";92622;8
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 21:13:00";92614;17
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 20:13:00";92597;61
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 19:13:00";92536;158
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 18:13:03";92378;19
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 17:13:03";92359;19
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 16:13:03";92340;86
